symbol,category
Il4ra,receptors and binding proteins
Rpl36,translation and protein modification
Rabep2,signaling
Fam57b,miscellaneous and unknown
Doc2a,metabolism and transport
Sez6l2,development
Cdipt,metabolism and transport
Prr14,metabolism and transport
Fbrs,cytoskeleton
Phkg2,metabolism and transport
Rnf40,proteolysis
Hsd3b7,metabolism and transport
Bckdk,metabolism and transport
Tgfb1i1,growth factor
Bag3,apoptosis
Sec23ip,Golgi apparatus
Ppapdc1a,metabolism and transport
Brwd2,epigenetics
Ska2,cytoskeleton
Htra1,proteolysis
RGD1559891,development
RGD1564300,translation and protein modification
Lhpp,metabolism and transport
Fam175b,miscellaneous and unknown
RGD1306820,development
Bccip,signaling
Dock1,signaling
Ptpre,signaling
Glrx3,electron transport
RGD1307177,miscellaneous and unknown
Inpp5a,signaling
Olr315,receptors and binding proteins
Cyp2e1,metabolism and transport
Ifitm1,immune response
Lrrc56,development
Tmem80,miscellaneous and unknown
Pnpla2,metabolism and transport
Efcab4a,receptors and binding proteins
Tspan4,cytoskeleton
LOC685544,miscellaneous and unknown
Lsp1,apoptosis
Mrpl23,translation and protein modification
Tssc4,transcription
Dhcr7,metabolism and transport
Cpt1a,metabolism and transport
Chka,signaling
Unc93b1,immune response
Tmem134,miscellaneous and unknown
Ptprcap,signaling
Pc,metabolism and transport
Sptbn2,cytoskeleton
Ctsf,proteolysis
Zdhhc24,transcription
mrpl11,translation and protein modification
Slc29a2,metabolism and transport
B3gnt1,metabolism and transport
Brms1,transcription
Rin1,signaling
Yif1,development
Gal3st3,Golgi apparatus
Eif1ad,translation and protein modification
Sart1,immune response
Fosl1,transcription
RGD1562657,miscellaneous and unknown
Rela,transcription
Map3k11,signaling
Ltbp3,receptors and binding proteins
Slc25a45,metabolism and transport
Syvn1,apoptosis
Znhit2,transcription
Batf2,transcription
Cdc42bpg,signaling
Sf1,translation and protein modification
Pygm,signaling
Rasgrp2,signaling
Trpt1,translation and protein modification
RGD1560108,EST
Atl3,signaling
Pla2g16,transcription
Chrm1,receptors and binding proteins
Nxf1,transcription
Ints5,miscellaneous and unknown
Ganab,metabolism and transport
B3gat3,metabolism and transport
Eef1g,translation and protein modification
Ahnak,cytoskeleton
Fth1,metabolism and transport
Rab3il1,signaling
Fads1,metabolism and transport
Cpsf7,translation and protein modification
Ddb1,development
Vwce,development
Vps37c,proteolysis
Slc15a3,metabolism and transport
Ms4a11,receptors and binding proteins
Mpeg1,transcription
Fam111a,miscellaneous and unknown
Rfk,metabolism and transport
Aldh1a1,metabolism and transport
Zfand5,transcription
Tmem2,miscellaneous and unknown
RGD1561453,translation and protein modification
Klf9,transcription
Ptar1,metabolism and transport
Kank1,transcription
Vldlr,receptors and binding proteins
Slc1a1,metabolism and transport
Ppapdc2,metabolism and transport
Jak2,signaling
Cd274,immune response
Cstf2t,translation and protein modification
Minpp1,signaling
Papss2,metabolism and transport
Ifit2,immune response
Ifit1,immune response
Rpp30,translation and protein modification
Pcgf5,epigenetics
Hectd2,EST
Btaf1,transcription
Tmem20,miscellaneous and unknown
Plce1,signaling
Hells,epigenetics
Entpd1,metabolism and transport
Ccnj,cell cycle
Cox15,metabolism and transport
Hps1,development
Pyroxd2,metabolism and transport
Sfrp5,development
Avpi1,signaling
Morn4,miscellaneous and unknown
Erlin1,metabolism and transport
Scd,metabolism and transport
Scd4,metabolism and transport
Kazald1,epigenetics
Hps6,development
Pprc1,signaling
Nolc1,transcription
Gbf1,Golgi apparatus
Nfkb2,transcription
Sfxn2,miscellaneous and unknown
As3mt,epigenetics
Cnnm2,cell cycle
Pdcd11,apoptosis
Gsto1,metabolism and transport
Gsto2,metabolism and transport
Sorcs3,receptors and binding proteins
Olr385,receptors and binding proteins
Casp7,apoptosis
Fam160b1,miscellaneous and unknown
Trub1,metabolism and transport
Kcnk18,metabolism and transport
Emx2,development
Fam45a,miscellaneous and unknown
Grk5,signaling
RGD1565045,metabolism and transport
Ust,metabolism and transport
RGD1566017,EST
Samd5,miscellaneous and unknown
Stxbp5,receptors and binding proteins
Rab32,signaling
Grm1,receptors and binding proteins
Ltv1,development
Pex3,signaling
MGC95208,miscellaneous and unknown
Gpr126,signaling
Pex7,signaling
Pde7b,signaling
Ptprk,signaling
Epb4.1l2,miscellaneous and unknown
Ccnb2,cell cycle
Med23,transcription
Ctgf,growth factor
Moxd1,metabolism and transport
Stx7,transcription
Taar8a,receptors and binding proteins
Taar7g,receptors and binding proteins
Taar7e,receptors and binding proteins
Taar5,receptors and binding proteins
Vnn1,metabolism and transport
Slc2a12,metabolism and transport
Sgk1,signaling
LOC100365542,miscellaneous and unknown
Trdn,cytoskeleton
Echdc1,metabolism and transport
Rpl26,translation and protein modification
Clptm1l,miscellaneous and unknown
Lpcat1,metabolism and transport
Hnrnpa3,translation and protein modification
Syne1,epigenetics
Mtrf1l,translation and protein modification
Rgs17,signaling
Ipcef1,cytoskeleton
Cnksr3,signaling
Ldhal6b,metabolism and transport
Dynlt1,development
Ezr,cytoskeleton
Sod2,metabolism and transport
Slc22a2,metabolism and transport
Dut,metabolism and transport
Agpat4,metabolism and transport
Pde10a,signaling
Brp44l,development
LOC683722,receptors and binding proteins
Ttll2,cytoskeleton
RGD1561706,signaling
RGD1559699,signaling
RGD1563865,signaling
RGD1560808,signaling
LOC679206,signaling
Lnpep,proteolysis
LOC100364003,receptors and binding proteins
LOC100362641,transcription
LOC292516,cytoskeleton
Rps9,translation and protein modification
Cnot3,transcription
Prpf31,translation and protein modification
Ndufa3,metabolism and transport
Myadm,development
E2f5,transcription
Nlrp4a,apoptosis
Dcun1d3,proteolysis
Aurkc,signaling
Usp29,proteolysis
Apeg3,epigenetics
Znf667,transcription
Nlrp4,immune response
Ccdc106,transcription
Znf580,transcription
Suv420h2,development
Leng8,receptors and binding proteins
Nlrp4b,apoptosis
Vom2r-ps53,receptors and binding proteins
Trim28,miscellaneous and unknown
Vom2r34,receptors and binding proteins
Ehd2,signaling
Sepw1,metabolism and transport
Grlf1,signaling
Fkrp,development
Calm3,signaling
Hif3a,transcription
Qpctl,metabolism and transport
Gipr,metabolism and transport
Fosb,transcription
Mark4,signaling
Clptm1,development
Tomm40,metabolism and transport
Pvrl2,receptors and binding proteins
Bcam,cytoskeleton
PVR,receptors and binding proteins
Znf575,transcription
Tex101,development
RGD1563034,transcription
Rabac1,signaling
Atp1a3,metabolism and transport
Gsk3a,metabolism and transport
Pafah1b3,metabolism and transport
Lipe,metabolism and transport
Cxcl17,growth factor
Ceacam1,cytoskeleton
Bckdha,metabolism and transport
Axl,receptors and binding proteins
Epc2,epigenetics
Sdccag1,miscellaneous and unknown
Egln2,development
Mia,transcription
Ltbp4,receptors and binding proteins
Pld3,metabolism and transport
LOC100360593,transcription
Psmc4,proteolysis
Selv,receptors and binding proteins
LOC687295,metabolism and transport
Zfp36,transcription
LOC685840,immune response
Ryr1l,receptors and binding proteins
RGD1303117,miscellaneous and unknown
Catsperg1,metabolism and transport
Spint2,proteolysis
LOC499124,transcription
RGD1562079,miscellaneous and unknown
Aplp1,receptors and binding proteins
Polr2i,transcription
Lin37,development
LOC688869,electron transport
Rbm42,translation and protein modification
Tmem147,miscellaneous and unknown
Ffar3,receptors and binding proteins
Lsr,receptors and binding proteins
Fxyd5,signaling
Hpn,proteolysis
Scn1b,metabolism and transport
Gramd1a,miscellaneous and unknown
RGD1563307,miscellaneous and unknown
Pdcd2l,apoptosis
Lsm14a,cytoskeleton
Tdrd12,miscellaneous and unknown
Pdcd5,apoptosis
Dpy19l3,development
Ccne1,cell cycle
Pop4,metabolism and transport
Klk1c10,metabolism and transport
Clec11a,cytoskeleton
MGC93975,EST
Myh14,cytoskeleton
Tbc1d17,signaling
Ptov1,development
Med25,transcription
Cpt1c,metabolism and transport
Prr12,metabolism and transport
Rcn3,metabolism and transport
Aldh16a1,metabolism and transport
Rps11,translation and protein modification
Cd37,immune response
Trpm4,development
Snrnp70,translation and protein modification
Bax,apoptosis
Ppp1r15a,signaling
Sphk2,metabolism and transport
Sult2b1,metabolism and transport
Emp3,cytoskeleton
Abcc8,receptors and binding proteins
LOC494539,cytoskeleton
Mrgprb4,signaling
Nipa1,development
Gabrg3,receptors and binding proteins
Gabra5,receptors and binding proteins
Chrna7,receptors and binding proteins
Klf13,transcription
Mtmr15,cytoskeleton
RGD1559470,miscellaneous and unknown
Ndnl2,development
Synm,cytoskeleton
Arrdc4,signaling
Nr2f2,transcription
Chd2,epigenetics
Slco3a1,metabolism and transport
Agbl1,signaling
Mfge8,growth factor
Rlbp1,receptors and binding proteins
Anpep,metabolism and transport
RGD1311021,EST
Cib1,signaling
Unc45a,translation and protein modification
Furin,transcription
Iqgap1,signaling
Rps17,translation and protein modification
Bnc1,development
Il16,growth factor
RGD1305254,miscellaneous and unknown
Fam108c1,miscellaneous and unknown
Fah,metabolism and transport
Olr14,receptors and binding proteins
Olr27,receptors and binding proteins
Olr29,receptors and binding proteins
Folh1,metabolism and transport
Tmem135,miscellaneous and unknown
LOC293103,EST
Eed,development
Tmem126a,electron transport
Tmem126b,miscellaneous and unknown
Ankrd42,transcription
Pcf11,translation and protein modification
RGD1559690,miscellaneous and unknown
Kctd21,metabolism and transport
Capn5,proteolysis
Omp,miscellaneous and unknown
Acer3,metabolism and transport
Tsku,miscellaneous and unknown
Serpinh1,development
Rps3,translation and protein modification
Slco2b1,metabolism and transport
Neu3,development
Ppme1,signaling
Mrpl48,translation and protein modification
Plekhb1,signaling
Arhgef17,EST
P2ry2,receptors and binding proteins
Inppl1,metabolism and transport
Folr1,receptors and binding proteins
Il18bp,receptors and binding proteins
Rhog,signaling
Trim21,miscellaneous and unknown
Bcl2l1,apoptosis
Olr57,receptors and binding proteins
Olr93,receptors and binding proteins
Olr104,receptors and binding proteins
Olr105,receptors and binding proteins
Olr113,receptors and binding proteins
Olr114,receptors and binding proteins
LOC689064,metabolism and transport
Hbb,metabolism and transport
Hbb-b1,metabolism and transport
Olr130,receptors and binding proteins
RGD1563970,signaling
Olr174,receptors and binding proteins
Olr176,receptors and binding proteins
Olr181,receptors and binding proteins
Apbb1,receptors and binding proteins
Hpx,metabolism and transport
Arfip2,translation and protein modification
Rrp8,translation and protein modification
Tpp1,proteolysis
Dchs1,signaling
RGD1308274,signaling
Egln1,translation and protein modification
Olr213,receptors and binding proteins
Olr222,receptors and binding proteins
Olr252,receptors and binding proteins
Olr255,receptors and binding proteins
Tmem9b,miscellaneous and unknown
rnf141,proteolysis
Mrvi1,transcription
Eif4g2,translation and protein modification
Dkk3,signaling
Pth,hormone
Rras2,signaling
LOC687439,transcription
Cyp2r1,electron transport
Sox6,development
Plekha7,signaling
Rps13,translation and protein modification
Pik3c2a,signaling
Arl6ip1,signaling
RGD1565096,EST
Eri2,metabolism and transport
Usp31,proteolysis
Cog7,Golgi apparatus
Xpo6,metabolism and transport
Eif3c,translation and protein modification
Nupr1,transcription
Sult1a1,metabolism and transport
Coro1a,cytoskeleton
Aldoa,metabolism and transport
Ino80e,transcription
Taok2,signaling
RGD1306636,EST
RGD1305592,EST
RGD1564195,miscellaneous and unknown
Qprt,metabolism and transport
Xtp3tpa,development
Znf688,transcription
Bcl7c,transcription
Pol3s,miscellaneous and unknown
Fgfr2,receptors and binding proteins
RGD1305014,EST
Ikzf5,transcription
Cpxm2,proteolysis
Chst15,metabolism and transport
Uros,metabolism and transport
Dhx32,transcription
LOC100302465,EST
Echs1,metabolism and transport
Sprn,development
Ifitm2,immune response
Ifitm3,immune response
Ifitm6,immune response
Sigirr,immune response
Rnh1,translation and protein modification
RGD1307439,miscellaneous and unknown
Irf7,immune response
Chid1,metabolism and transport
Tollip,immune response
Krtap5-5,cytoskeleton
H19,EST
Igf2,growth factor
Th,transcription
Cars,translation and protein modification
Tnfrsf26,apoptosis
LOC683447,apoptosis
Ppfia1,signaling
Ccnd1,cell cycle
Ighmbp2,immune response
Lrp5,receptors and binding proteins
Ndufs8,metabolism and transport
Gstp1,metabolism and transport
Aip,receptors and binding proteins
LOC689065,miscellaneous and unknown
Rce1,proteolysis
Rbm4b,translation and protein modification
Rbm4,translation and protein modification
Peli3,signaling
Npas4,transcription
Tmem151a,receptors and binding proteins
Drap1,translation and protein modification
Ccdc85b,transcription
Rpl29,translation and protein modification
Pcnxl3,development
Mtvr2,transcription
Frmd8,signaling
Dpf2,transcription
Cdc42ep2,cytoskeleton
Mrpl49,translation and protein modification
LOC100361915,EST
Prdx5,electron transport
Esrra,receptors and binding proteins
Flrt1,cytoskeleton
Otub1,proteolysis
Cox8a,electron transport
Mark2,signaling
Rtn3,metabolism and transport
UST4r,metabolism and transport
Slc3a2,metabolism and transport
Tmem179b,miscellaneous and unknown
Ttc9c,miscellaneous and unknown
Gng3,signaling
Asrgl1,metabolism and transport
RGD1306622,miscellaneous and unknown
Dagla,metabolism and transport
Tmem109,miscellaneous and unknown
Zp1,cytoskeleton
Ccdc86,transcription
Ms4a6a,receptors and binding proteins
Ms4a6b,receptors and binding proteins
Oosp1,signaling
Stx3,transcription
LOC100363176,miscellaneous and unknown
Olr323,receptors and binding proteins
Dtx4,signaling
Olr349,receptors and binding proteins
Psat1,metabolism and transport
Vps13a,proteolysis
Gcnt1,Golgi apparatus
Ostf1,metabolism and transport
Rorb,receptors and binding proteins
RGD1359158,EST
Fam189a2,development
Pip5k1b,signaling
Fam122a,miscellaneous and unknown
Rfx3,transcription
Ak3,signaling
Insl6,growth factor
RGD1306839,EST
Ermp1,proteolysis
Gldc,metabolism and transport
Prkg1,signaling
Asah2,metabolism and transport
Ankrd22,transcription
Slc16a12,metabolism and transport
Ppp1r3c,signaling
Cpeb3,micro RNA
Cyp26a1,electron transport
Myof,cytoskeleton
Rbp4,receptors and binding proteins
RGD1309482,EST
Noc3l,transcription
Cyp2c22,electron transport
Pdlim1,transcription
Tctn3,miscellaneous and unknown
Blnk,cytoskeleton
Opalin,development
Tm9sf3,miscellaneous and unknown
Cutc,metabolism and transport
RGD1307934,EST
Pi4k2a,signaling
Scd1,metabolism and transport
Ndufb8,metabolism and transport
Mgea5,epigenetics
Cuedc2,miscellaneous and unknown
Arl3,translation and protein modification
Cyp17a1,metabolism and transport
Pcgf6,epigenetics
Usmg5,development
Sh3pxd2a,development
Add3,cytoskeleton
LOC682679,miscellaneous and unknown
Gpam,metabolism and transport
Zdhhc6,transcription
Afap1l2,cytoskeleton
Gfra1,receptors and binding proteins
RGD1305823,EST
Lkap,immune response
Ercc4,epigenetics
Txndc11,electron transport
Litaf,transcription
Prm1,epigenetics
Dexi,transcription
Emp2,cytoskeleton
Rbm25,translation and protein modification
RGD1565166,miscellaneous and unknown
N-pac,transcription
Rogdi,transcription
Anks3,transcription
Fam100a,miscellaneous and unknown
Magmas,signaling
Btbd12,signaling
Znf597,transcription
Cldn6,cytoskeleton
Pkmyt1,signaling
Srrm2,translation and protein modification
Abca3,receptors and binding proteins
Rnps1,translation and protein modification
Pgp,metabolism and transport
Mlst8,signaling
Znf598,transcription
Hagh,metabolism and transport
Spsb3,proteolysis
Nme3,metabolism and transport
Clcn7,metabolism and transport
Gng13,signaling
Wdr24,miscellaneous and unknown
Jmjd8,epigenetics
RGD1307155,miscellaneous and unknown
Axin1,signaling
Rgs11,signaling
Luc7l,development
Mare,signaling
Stc2,metabolism and transport
Dusp1,signaling
RGD1309926,EST
Kcnmb1,metabolism and transport
Slit3,development
Pank3,metabolism and transport
Nudcd2,cytoskeleton
Rpl32,translation and protein modification
Ebf1,transcription
Adam19,development
Gnb2l1,signaling
Trim7,miscellaneous and unknown
Ifi47,immune response
Rpl31,translation and protein modification
RGD1560191,EST
Olr1387,receptors and binding proteins
Olr1392,receptors and binding proteins
Gfpt2,metabolism and transport
Mgat4b,Golgi apparatus
Hnrph1,translation and protein modification
Zfp354a,transcription
Clk4,immune response
Nola2,transcription
Sar1b,development
Cdkn2aipnl,cell cycle
Cdkl3,cell cycle
Ppp2ca,signaling
Irf1,immune response
P4ha2,metabolism and transport
Hint1,transcription
Gpx3,electron transport
Rpl13,translation and protein modification
Slc36a1,metabolism and transport
Gria1,growth factor
Mrpl22,translation and protein modification
Sh3bp5l,translation and protein modification
Olr1431,receptors and binding proteins
Olr1437,receptors and binding proteins
Olr1448,receptors and binding proteins
Olr1450,receptors and binding proteins
Olr1454,receptors and binding proteins
Olr1455,receptors and binding proteins
Olr1458,receptors and binding proteins
LOC691468,transcription
RGD1561277,EST
Hist3h2ba,epigenetics
RGD1304587,EST
Lrrc48,development
LOC691649,miscellaneous and unknown
Drg2,signaling
Alkbh5,metabolism and transport
Llgl1,cytoskeleton
Dhrs7b,metabolism and transport
B9d1,development
Adora2b,receptors and binding proteins
Ttc19,miscellaneous and unknown
Pigl,metabolism and transport
Pmp22,development
Elac2,translation and protein modification
Dnah9,cytoskeleton
Dhrs7c,metabolism and transport
Ccdc42,transcription
Slc25a35,metabolism and transport
RGD1563106,miscellaneous and unknown
LOC691750,miscellaneous and unknown
Vamp2,cytoskeleton
Per1,development
Fxr2,development
Zbtb4,transcription
Plscr3,metabolism and transport
Ybx2,transcription
Arrb2,signaling
Med11,transcription
Psmb6,proteolysis
Rpl36a,translation and protein modification
Eno3,metabolism and transport
Zfp3,transcription
Rpain,cytoskeleton
Mybbp1a,transcription
Camkk1,signaling
P2rx5,receptors and binding proteins
Tax1bp3,receptors and binding proteins
Shpk,metabolism and transport
Spata22,development
Olr1471,receptors and binding proteins
Olr1481,receptors and binding proteins
Olr1515,receptors and binding proteins
Mnt,receptors and binding proteins
Mir22,EST
Prpf8,translation and protein modification
Slc43a2,metabolism and transport
Pitpna,metabolism and transport
Rpl37,translation and protein modification
Dbil5,signaling
LOC687994,development
Sez6,development
Rpl23a,translation and protein modification
RGD1566149,EST
Slc46a1,metabolism and transport
Vtn,cytoskeleton
Nos2,metabolism and transport
RGD1565317,proteolysis
Taok1,signaling
Ccdc55,transcription
Cpd,proteolysis
Nxn,signaling
Rnf135,proteolysis
Tmem98,miscellaneous and unknown
RGD1560900,EST
Ccl2,growth factor
Ccl7,growth factor
Ccl11,growth factor
Slfn5,translation and protein modification
Slfn2,translation and protein modification
Slfn3,translation and protein modification
Expi,metabolism and transport
Ddx52,apoptosis
Acaca,metabolism and transport
Bcas3,transcription
Tbx2,transcription
Mir301a,micro RNA
Sept4,growth factor
Rnf43,proteolysis
Mpo,metabolism and transport
Rnft1,proteolysis
RGD1304870,transcription
Coil,cytoskeleton
Trim25,miscellaneous and unknown
Tmem100,miscellaneous and unknown
Mmd,development
Cox11,metabolism and transport
LOC688136,translation and protein modification
Lrrc59,development
Ppp1r9b,signaling
Samd14,miscellaneous and unknown
Spop,transcription
Znf652,transcription
Phospho1,signaling
Hoxb13,transcription
Hoxb3,transcription
Copz2,cytoskeleton
Sp6,transcription
Mrpl10,translation and protein modification
Mrpl45,translation and protein modification
Arhgap23,signaling
Psmb3,proteolysis
Rpl19,translation and protein modification
Stard3,metabolism and transport
Zpbp2,development
Psmd3,proteolysis
Thra,receptors and binding proteins
Wipf2,receptors and binding proteins
Rara,signaling
Igfbp4,receptors and binding proteins
Krtap9-1,cytoskeleton
Krtap31-1,cytoskeleton
Eif1,translation and protein modification
Fkbp10,signaling
Nkiras2,signaling
Hspb9,signaling
Atp6v0a1,metabolism and transport
RGD1564228,metabolism and transport
Coasy,metabolism and transport
Tubg1,cytoskeleton
Cntnap1,cytoskeleton
Ramp2,signaling
Rpl27,translation and protein modification
Rnd2,signaling
Arl4d,translation and protein modification
Nags,metabolism and transport
G6pc3,metabolism and transport
Fzd2,receptors and binding proteins
Nmt1,metabolism and transport
Acbd4,metabolism and transport
Hexim1,transcription
Fmnl1,cytoskeleton
Arf2,translation and protein modification
Mapt,cytoskeleton
Mrc2,receptors and binding proteins
Tanc2,miscellaneous and unknown
Ace,metabolism and transport
Map3k3,signaling
RGD1565033,miscellaneous and unknown
Psmd12,proteolysis
Ccdc46,transcription
Axin2,signaling
Map2k6,signaling
Kcnj16,metabolism and transport
Kcnj2,metabolism and transport
Cog1,Golgi apparatus
Gprc5c,signaling
LOC501738,EST
Slc9a3r1,metabolism and transport
RGD1309310,miscellaneous and unknown
Llgl2,development
Itgb4,signaling
RGD1311078,EST
RGD1306284,EST
RGD1307394,miscellaneous and unknown
Sec14l1,metabolism and transport
C1qtnf1,growth factor
Rnf213,proteolysis
LOC688296,EST
Baiap2,receptors and binding proteins
Mrpl12,translation and protein modification
Slc25a10,metabolism and transport
Slc16a3,metabolism and transport
Tex19.1,development
Hexdc,metabolism and transport
Narf,transcription
Fn3krp,metabolism and transport
Abcc1,receptors and binding proteins
Nde1,development
RGD1305537,EST
Snn,apoptosis
Nubp1,cell cycle
LOC497860,EST
Abat,metabolism and transport
LOC687502,miscellaneous and unknown
A2bp1,development
Alg1,metabolism and transport
Ubn1,EST
Nudt16l1,transcription
Mgrn1,proteolysis
Hmox2,metabolism and transport
Olr1362,receptors and binding proteins
Olr1364,receptors and binding proteins
Olr1382,receptors and binding proteins
Tnfrsf12a,apoptosis
Cldn9,cytoskeleton
Prss22,proteolysis
Atp6v0c,metabolism and transport
Ntn3,development
Ccnf,cell cycle
Abca17,receptors and binding proteins
Slc9a3r2,metabolism and transport
Syngr3,development
Gfer,growth factor
Tbl3,signaling
Rnf151,proteolysis
Ndufb10,electron transport
Nubp2,cell cycle
Mapk8ip3,signaling
Tmem204,cytoskeleton
Cacna1h,metabolism and transport
Sstr5,receptors and binding proteins
Wdr90,miscellaneous and unknown
RGD1311273,EST
Itfg3,signaling
Hba-a2,metabolism and transport
Hbq1,metabolism and transport
LOC287167,immune response
Mpg,epigenetics
Snrnp25,translation and protein modification
Cpeb4,translation and protein modification
RGD1310862,EST
Stk10,signaling
Npm1,translation and protein modification
Rps10,translation and protein modification
